escola;endereco
Escola Municipal Anísio Teixeira;Travessa Manoel Continentino, 31, São Domingos, Niterói
Escola Municipal Ayrton Senna;Rua Altamiro José Cabral, Morro do Estado, Niterói
Escola Municipal Doutor Alberto Francisco Torres;Rua Professor Ismael Coutinho, 88, Centro, Niterói
Escola Municipal Maestro Heitor Villa Lobos;Rua Salo Brand, Ilha da Conceição, Niterói
Escola Municipal Nossa Senhora da Penha;Ladeira Major Rocha, Ponta da Areia, Niterói
Escola Municipal Santos Dumont;Rua Manoel Corrêa, Bairro de Fátima, Niterói
Escola Municipal Antônio Coutinho de Azevedo;Rua Nestor Perlingeiro, Santa Bárbara, Niterói
Escola Municipal Djalma Coutinho de Oliveira;Rua Cinco de Março, 75, Fonseca, Niterói
Escola Municipal Dom José Pereira Alves;Rua Tenente Osório, 73, Fonseca, Niterói
Escola Municipal Ernani Moreira Franco;Rua Bonfim, Fonseca, Niterói
Escola Municipal Jacinta Medela;Rua Tenente Osório, 10, Fonseca, Niterói
Escola Municipal Noronha Santos;Rua Henrique Lage, 184, Fonseca, Niterói
Escola Municipal Rachide da Glória Salim Saker;Rua Jandira Pereira, 620, Santa Bárbara, Niterói
Escola Municipal Antinéia Silveira Miranda;Rodovia Amaral Peixoto, KM 02, Caramujo, Niterói
Escola Municipal Demenciano Antônio de Moura;Travessa Magnólia Brasil, Fonseca, Niterói
Escola Municipal José de Anchieta;Rua B e D, Morro do Céu, Niterói
Escola Municipal Paulo Freire;Rua Soares de Miranda, 77, Fonseca, Niterói
Escola Municipal Profª Mª de Lourdes Barbosa Santos;Rua Leite Ribeiro, 120, Fonseca, Niterói
Escola Municipal Sebastiana G. Pinho;Estrada Viçoso Jardim, Viçoso Jardim, Niterói
Escola Municipal Vila Costa Monteiro;Rua Ititioca, Ititioca, Niterói
Escola Municipal Diógenes Rua de Mendonça;Estrada Caetano Monteiro, Pendotiba, Niterói
Escola Municipal Felisberto de Carvalho;Estrada Caetano Monteiro, 896, Pendotiba, Niterói
Escola Municipal Honorina de Carvalho;Rua Professor José Peçanha, Pendotiba, Niterói
Escola Municipal Levi Carneiro;Estrada do Sapê, 488, Pendotiba, Niterói
Escola Municipal Profº Horácio Pacheco;Avenida Celso Peçanha, Cantagalo, Niterói
Escola Municipal Sítio do Ipê;Rua Professor José Peçanha, Pendotiba, Niterói
Escola Municipal Vera Lúcia Machado;Rua Ademar de Paiva, 7 e 8, Badu, Niterói
Escola Municipal Profª Bolívia de Lima Gaétho;Estrada Sen. Fernando da Cunha, Rio do Ouro, Niterói
Escola Municipal Adelino Magalhães;Rua Doutor Nelson Penna, 17, Engenhoca, Niterói
Escola Municipal Altivo César;Rua Doutor Luiz Palmier, 25, Barreto, Niterói
Escola Municipal Governador Roberto Silveira;Lote Bento Pestana, Morro do Castro, Niterói
Escola Municipal Infante Dom Henrique;Rua Professor João Brasil, 2000, Engenhoca, Niterói
Escola Municipal João Brazil;Lote Bento Pestana, Morro do Castro, Niterói
Escola Municipal Mestra Fininha;Rua Doutor Luiz Palmier, 100, Barreto, Niterói
Escola Municipal Professor André Trouche;Rua Doutor Luiz Palmier, 100, Barreto, Niterói
Escola Municipal Tiradentes;Rua Doutor March, 628, Tenente Jardim, Niterói
Escola Municipal Julia Cortines;Rua Lopes Trovã, Icaraí, Niterói
Escola Municipal Profª Lúcia Mª da Silveira Rocha;Rua Carlos Ermelindo Marins, 34, Jurujuba, Niterói
Escola Municipal Profª Mª Ângela Moreira Pinto;Rua Tupiniquis, 392, São Francisco, Niterói
Escola Municipal Padre Leonel Franca;Rua Santos Moreira, 58, Santa Rosa, Niterói
Escola Municipal Profº Paulo de Almeida Campos;Rua General Pereira da Silva, 50, Icaraí, Niterói
Escola Municipal Profª Elvira Lúcia Esteves de Vasconcelo;Travessa Emílio Andrada, 2, Icaraí, Niterói
Escola Municipal Helena Antipoff;Avenida Rui Barbosa, 388, São Francisco, Niterói
Escola Municipal Heloneida Studart;Estrada da Serrinha, Várzea das Moças, Niterói
Escola Municipal Professor Dario de Souza Castello;Rua Alice Picanço, nº 21, Itaipu, Niterói
Escola Municipal Eulália da Silveira Bragança;Estrada Frei Orlando, Piratininga, Niterói
Escola Municipal Francisco Portugal Neves;Rua Quatorze, 14, Piratininga, Niterói
Escola Municipal Mar Alegre;Rua 65, Lote 10, Quadra 87, Cafubá, Niterói
Escola Municipal Professor Marcos Waldemar de Freitas Reis;Rua O, Itaipu, Niterói
